"Heute-5eca534b4c675877e2cfbdabd6548aba","die diplomatie droht zu verstummen moskau forderte von der ukrainischen regierung, den einsatz sofort zu beenden und warnte vor einem scheitern der für donnerstag geplanten gespräche in genf. dort wollen die außenminister russlands, der usa und der ukraine zusammen mit der eu-außenbeauftragten catherine ashton über möglichkeiten einer diplomatischen lösung der krise beraten. us-präsident barack obama und russlands präsident wladimir putin hatten den konflikt in der nacht zum dienstag telefonisch erörtert. obama habe sich besorgt darüber geäußert, heißt es aus dem weißen haus, dass moskau die prorussischen separatisten in der ostukraine unterstütze. putin bestritt eine einmischung und forderte seinerseits obama auf, seinen einfluss in der ukraine geltend zu machen, um ein blutvergießen und den einsatz von gewalt zu verhindern. china betritt die bühne moskau sei daran interessiert, dass die zusammenkunft in genf zustandekomme, beteuerte außenminister lawrow. die teilnehmer hätten sich schon auf ein vorläufiges programm geeinigt - darunter deeskalation, entwaffnung illegaler einheiten, verfassungsmäßige reformen und wahlen in der ukraine, sagte lawrow. in peking wurde der russe nach einem gespräch mit seinem amtskollegen wang yi auch von chinas staats- und parteichef xi jinping empfangen - was als besondere geste gewertet werden kann. die chinesische führung bekräftigte ihre unparteiische position in dem konflikt. china sei ein freund des ukrainischen volkes und unterstütze das genfer treffen. lawrow dankte peking für seine vorurteilslose und ausgewogene haltung. unruhe bei den nachbarn der ukraine die eu-verteidigungsminister sicherten polen, rumänien und den drei baltischen staaten angesichts der ukraine-krise ihre solidarität zu. wir haben eine ausgesprochen fragile situation, in der jetzt auch besonnenheit wichtig ist, sagte bundesverteidigungsministerin ursula von der leyen (cdu) nach beratungen der minister in luxemburg. nato-generalsekretär anders fogh rasmussen, der als gast über die lage in der ukraine referierte, bekräftigte: wir diskutieren nicht über militärische optionen. allerdings wolle die nato in den östlichen bündnisländern auch militärisch stärker präsent sein als bisher. nach erkenntnissen von un-experten hat es im osten der ukraine zwar vereinzelte übergriffe auf angehörige der russischen minderheit gegeben, aber keine systematischen attacken. allerdings hätten russen dort tatsächlich angst, dass die regierung in kiew ihre interessen nicht vertrete, heißt es in einem in genf vorgelegten bericht. darin wurde die regierung in kiew ermahnt, die rechte der russischen minderheit zu respektieren. eine sprecherin der prorussischen separatisten, jekaterina gubarewa, sagte, die aktivisten in der ostukraine seien keine terroristen. es gebe weder plünderungen noch vandalismus - viele menschen in der region seien einfach enttäuscht über die neue regierung in kiew. interimspräsident turtschinow hatte sich am vortag offen gezeigt für ein landesweites referendum über die künftige struktur der ukraine."
"maerkischeallgemeine-8626e851fc27d7eea8a7e663e94e7253","drewitz? . am 16. mai befasst sich das verwaltungsgericht potsdam mit der klage der iss (international schiller schools foundation) gegen das brandenburgische bildungsministerium. wie berichtet, wollte die gemeinnützige gmbh, die das schiller-gymnasium und die schiller-grundschule in drewitz betreibt, für das schuljahr 2013/2014 eine gesamtschule eröffnen. doch das bildungministerium versagte der iss die genehmigung für die drewitzer modellschule. dagegen geht die iss nun mit ihrer klage vor. wir haben alle rahmenbedingungen für die genehmigung erfüllt, betont andreas mohry, leiter des schiller-gymnasiums. das bildungsministerium erinnert indes daran, dass es in anbetracht wesentlicher formaler und inhaltlicher mängel den antrag abgelehnt hatte. zu diesen mängeln gehörten unter anderem die unzureichenden angaben zur räumlichen absicherung, ein mangelndes finanzierungskonzept und unklarheiten bezüglich der pädagogischen konzeption. kurz: vor allem das platz-angebot und die personaldecke waren dem ministerium ein dorn im auge. die iss plant, die gesamtschule im gebäude des gymnasiums unterzubringen. das ministerium meint jedoch, dass das haus in der fritz-lang-straße dafür auf dauer nicht ausreicht und die anbau-pläne der iss zu unverbindlich seien. auch das vorhaben, lehrer parallel am gymnasium, an der grund- und an der gesamtschule einsetzen zu wollen, stieß auf. die landeshauptstadt, die in den kommenden jahren einen großen bedarf an zusätzlichen schulen hat, hält sich in der debatte zurück und verweist auf den schulentwicklungsplan. der sieht am standort der coubertin-oberschule zum schuljahr 2018/2019 eine gesamtschule vor und spätestens zu 2021/2022 eine weitere gesamtschule, für die aber noch ein geeigneter standort zu finden ist. grundsätzlich trifft es zu, dass schulen freier träger bei entsprechender anwahl durch die eltern das öffentliche schulnetz entlasten können, teilt stadtsprecherin christine weber mit. im konkreten fall können wir angesichts des laufenden klageverfahrens aber keine aussage zu den plänen des iss machen. die iss hat für 2014/15 einen weiteren antrag auf genehmigung einer gesamtschule gestellt.  die gescheiterte gründung der schiller-gesamtschule im september 2012 stellte die trägergesellschaft iss beim bildungsministerium den antrag auf genehmigung der ersatzschule „gesamtschule potsdam – drewitzer modellschule“. im februar 2013 forderte das ministerium, bestimmte sachverhalte zu klären. zum beginn des ü-7-verfahrens gab die iss dem schulamt bekannt, dass zum neuen schuljahr die gesamtschule den betrieb aufnimmt. im märz 2013 fand ein gespräch im ministerium statt, bei dem laut iss alle details abgearbeitet und angeforderte unterlagen vorgelegt wurden. das ministerium sagt, dass es danachweitere nachbesserungen gefordert hat. im juni 2013 , kurz vor den sommerferien, erfuhr die iss auf anfrage, dass die schulfachliche prüfung bestanden, die genehmigung aber noch nicht erteilt sei. dennoch begann man mit der organisation des schulbetriebs und schloss mit den eltern verträge. im juli 2013 , etwa zwei wochen vor schuljahresbeginn, kündigte das ministerium in einer e-mail an, den antrag abzulehnen. die tragenden gründe würden dezidiert „mit dem bescheid mitgeteilt, der ihnen in den nächsten wochen zugehen wird“. bis zum ersten schultag am 5. august 2013 lag der offizielle bescheid nicht vor; die iss hatte keine handhabe, widerspruch einzureichen. 37familien mussten sich daraufhin neue schulen suchen."
"spiegel-388715d38f187305e0e73f1f9d438aff","doch so schnell wollen die prorussischen kämpfer nicht aufgeben. auch am freitag harrten sie in regierungsgebäuden aus. reporter berichteten, dass separatisten mit panzern durch slowjansk patrouillierten. besetzer der polizeistation slowjansk sagten einem reporter von n-tv : wir werden hier nichts räumen, keine waffen abgeben. in luhansk erklärte ein besetzer, es habe sich nichts geändert: wir bleiben. in donezk stellte ein anführer der selbsternannten gleichnamigen republik bedingungen, unter denen er und seine leute ihre waffen niederlegen und die besetzten gebäude räumen würden. der rücktritt der regierung in kiew sei dafür die voraussetzung. wir sind einverstanden, dass die gebäude geräumt werden müssen, sagte denis puschilin. aber zuerst müssen (ministerpräsident arsenij) jazenjuk und (der amtierende präsident alexander) turtschinow die gebäude verlassen, die sie seit ihrem staatsstreich illegal besetzen. doch das ist nicht einzige forderung der besetzer, die liste ist lang: einige verlangen das recht auf eine russische staatsbürgerschaft , um moskau gegebenenfalls um beistand bitten zu können. andere fordern, dass festgenommene anführer freigelassen und auch ultranationalistische kräfte wie der rechte sektor entwaffnet werden. letztere stehen im ruf, weiter einfluss auf die führung in kiew zu haben. ein mann namens miroslaw rudenko sagte in donezk, dass der militäreinsatz der machthaber aus kiew gegen die eigene bevölkerung beendet werden müsse. doch auch am freitag wurde die militäroperation der regierung gegen separatisten fortgeführt. die anti-terror-operation läuft weiter. wie lange sie andauern wird, hängt davon ab, wie lange terroristen in unserem land bleiben, sagte die sprecherin der staatssicherheit, marina ostapenko, in kiew. ein vierter prorussischer kämpfer sagte, vor der eigenen entwaffnung müssten die nationalgarde und die bewaffneten gruppen aufgelöst werden, die an den proeuropäischen massendemonstrationen auf dem maidan in kiew beteiligt waren. dass die separatisten nicht mit einer stimme sprechen, macht die lage noch unübersichtlicher. viele besetzer in donezk wollen ein referendum, allerdings wissen sie nicht, welche frage sie den bürgern bei der volksabstimmung genau stellen sollen, berichtete spiegel-online-reporterin raniah salloum, die derzeit in der ostukraine unterwegs ist. einreiseverbot für russen.  zitat von sysop wir werden hier nichts räumen: die bewaffneten separatisten in der ostukraine wollen trotz der beschlüsse von genf nicht weichen. im gegenteil, die prorussischen kämpfer stellen bedingungen - allerdings spricht jeder für sich. http://www.spiegel.de/politik/ausland/ukraine-separatisten-widersetzen-sich-genfer-einigung-a-965206.html  erinnert mich schwer an kiev: da wird feierlich ein friedensabkommen verkündet, keinen tag später kümmert es aber eine seite überhaupt nicht mehr. vermutlich hatte man auch sinnvollerweise keinen vertreter der separatisten zu den gesprächen eingeladen würde ich denken? putin hat sicher nichts dagegen, wenn die entwaffnet werden - allerdings auf gesittete art und weise. am problem kievs hat sich also meiner meinung nach eigentlich nicht wirklich viel geändert. ich habe allerdings leider wenig zweifel daran, dass es diesmal genau wie letztes mal ist - auch diesmal dürfte es die politik nur wieder interessieren, inwiefern sich die pro-russisch orientierten kräfte an die vereinbarungen halten.  zitat von sysop wir werden hier nichts räumen: die bewaffneten separatisten in der ostukraine wollen trotz der beschlüsse von genf nicht weichen. im gegenteil, die prorussischen kämpfer stellen bedingungen - allerdings spricht jeder für sich. http://www.spiegel.de/politik/ausland/ukraine-separatisten-widersetzen-sich-genfer-einigung-a-965206.html."
"spiegel-df4ad8cff8d1d36befcb80efcca94f64","genau das ist frankreichs problem. reihenweise kommen die leute aus der gleichen schule, ena, zur zeit ist es von vorteil wenn man in der abschlussklasse von hollande war, und wechseln munter zwischen staat, finanzen und privater wirtschaft. da ist es kein wunder dass da manch einer seine rolle nicht genau kennt und bestechung (auch zb fall dumas) oder bevorteilung zur förderung der eigenen karriere gehören bei dieser art staatsadel' zwangsweise dazu. wenn frankreich wirtschaftlich auf die beine kommen soll, dann wäre es wichtiger als das einfrieren der beamtengehälter und der renten endlich einmal bei diesen enarchen aufzuräumen. dazu ist aber valls zu schwach, und hollande ist selber einer. frankreich braucht in dieser beziehung dringenst eine kulturrevolution.  ja, und für die luxusschuhe gab es ein eigenes zimmer im elysée palast, wo ein vertreter des plebs diese polieren durfte. ein schlimmes bild für einen sozialisten in zeiten der leeren kassen und hoher arbeitslosigkeit. die politische kaste in paris, sei es links oder rechts, macht den eindruck, als sei sie ausschließlich damit beschäftigt, die eigenen privilegien zu vergrößern und auszunutzen. der laden explodiert bald oder treibt die wähler an den rechten rand. übrigens ist kandidat martin schulz für das europaparlament immer für die französischen sozialisten im einsatz und will 'endlich dem sparzwang von frau merkel ein ende bereiten'. die französische regierungspartei hat keinen plan, ist zutiefst zerstritten und hat die zwei jahre in der regierung durch stümperhaftigkeit verplempert. besserung ist nicht in sicht.  im artikel werden vorwürfe erhoben, ohne irgendeinen hinweis auf die substanz zu geben. aus einer überschaubaren tätigkeit für ein dänisches pharmaunternehmen und die mitarbeit für die französische kontrollbehörde für soziale [...]  im artikel werden vorwürfe erhoben, ohne irgendeinen hinweis auf die substanz zu geben. aus einer überschaubaren tätigkeit für ein dänisches pharmaunternehmen und die mitarbeit für die französische kontrollbehörde für soziale angelegenheiten ergibt sich noch kein interessenkonflikt. höchstens die evtl. fehlende genehmigung der nebentätigkeit wäre zu bemängeln, wenn es denn nachgewiesen ist. dass ein hoher beamter privat angeblich 30 luxusschuhe besitzt und diese auch noch regelmäßig polieren lässt (!), ist für mich nun auch kein skandal, sondern privatangelegenheit. ob die getrunkenen weine für die arbeitsessen angemessen waren, wird wohl nur der elyseepalast beantworten können. im zweifel haben aber hier die zuständigen beamten fehler gemacht, indem sie möglicherweise regeln nicht beachtet haben."
"spiegel-32a81fe81ddee9bec2d9485efe257264","mit putin geht es vielen deutschen wie mit den russen auf dem ku'damm: man lächelt über den männlichkeitskult und das blingbling, aber in dem spott verbirgt sich auch bewunderung für eine art zu leben, die man sich selber nicht mehr traut.  den westen hält der starke mann für einen dekadenten amüsierbetrieb, der an seiner toleranz zugrunde gehen wird. sein pressesprecher sagt, die polizei solle bei protesten die leber der demonstranten auf den asphalt schmieren. in dem von ihm kontrollierten fernsehen werden juden für den holocaust verantwortlich gemacht und mit blick auf die ukraine gewarnt, einen zweiten holocaust zu initiieren. wer der offiziellen politik widerspricht, gilt als verräter, als fremdling und angehöriger einer fünften kolonne.  das ist also der mann, für den sich in deutschland viele herzen erwärmen. entsprechend groß ist die erschütterung in den leitetagen der presseorgane, die ihre leser eigentlich als verständige zeitgenossen kennen: wie kann es sein, dass ausgerechnet in einem so friedliebenden gemeinwesen wie der bundesrepublik so viele menschen einem nationalisten wie putin das wort reden? putin steht für das unterdrückte andere. die antwort ist einfacher, als es die gewissensprüfung auf den kommentarseiten vermuten lässt: die frage ist schlicht falsch gestellt. nicht trotz, sondern wegen der erziehung zu pazifismus, geschlechtersensibilität und fortwährender antidiskriminierung ist ein gutteil der deutschen so fasziniert von und seinem anführer. russland putin steht für das unterdrückte andere, das gerade, weil es so selbstbewusst und unverstellt auftritt, einen unwiderstehlichen reiz ausübt. am stammtisch der wirtschaft heißt es über den präsidenten: ein kerl, der handelt. oder um in der sprache des ostausschusses der deutschen wirtschaft zu bleiben: endlich mal wieder jemand mit eiern. links der mitte drückt man die wertschätzung etwas verhaltener aus. da zeigt man im duktus des guten sozialarbeiters verständnis für die motive des imperators und warnt davor, den russischen präsidenten zu dämonisieren, weil ihn das wie jeden bad boy nur noch mehr aufbringen könnte. hinaus läuft es auf das gleiche: eine mehr oder weniger eingestandene bewunderung für einen politiker, der nicht lange fragt, sondern sich einfach nimmt, was ihm seiner nach meinung zusteht. viel ist in diesen tagen von der russischen seele die rede, zu der sich die deutschen angeblich seit jeher hingezogen fühlen. aber das ist nur camouflage. an putin und dem von ihm verkörperten russland faszinieren nicht die liebe zu tschaikowski und tschechow , sondern die kaltschnäuzige entschlossenheit einer politik, die mit dem ende des kalten krieges ausgestorben schien. mit putin geht es vielen deutschen wie mit den russen auf dem berliner ku'damm: man belächelt vielleicht in den aufgeklärten kreisen den männlichkeitskult und das blingbling, aber in dem spott über die zu dicken uhren, die zu lauten anzüge und die zu blonden und zu großbusigen frauen verbirgt sich immer auch anerkennung. denken in ethnischen kategorien. das gespenstische an der derzeitige situation ist, dass sich in putin die sehnsüchte und aversionen von links und rechts zu treffen scheinen. man darf sich nicht täuschen lassen von den ausfällen des präsidenten gegen die faschisten auf dem maidan und der krim: zu den treuesten gästen gehören in moskau die anführer vom rechten rand in europa - der französische front national und die ungarische jobbik -, die im kreml ihren neuen wallfahrtsort entdeckt haben. diese leute wissen, was gemeint ist, wenn es heißt, dass man die erde eines volkes einsammeln müsse. das denken in ethnischen kategorien ist kern ihres programms.  der historiker timothy snyder hat in einem sehr lesenswerten essay auf die fundamentale verlogenheit der russischen führung hingewiesen, die europa wegen seiner liberalität verachtet und doch auf allen erdenklichen ebenen von der europäischen union abhängig ist, wie er schreibt: ohne die berechenbarkeit, rechtsstaatlichkeit und kultur europas könnten die russen nirgendwo ihr geld waschen, ihre vorzeigeunternehmen gründen, ihre kinder auf schulen schicken oder ihre ferien verbringen. die gleiche unaufrichtigkeit findet man auch im lager der putin-bewunderer. nur ein bruchteil jener 43 prozent der deutschen, die in umfragen für eine auflösung der nato votieren, wäre bereit, auf die annehmlichkeiten zu verzichten, die das leben unter dem amerikanischen schutzschirm mit sich bringt. dass die europäer in absehbarer zeit in der lage wären, die verteidigung ihres wohlstands und ihrer freiheit ohne die usa zu organisieren, kann niemand ernsthaft glauben. so stellt sich am ende die einfache frage, was man bevorzugt: ein leben unter russischer oder amerikanischer protektion. allen, die bei der antwort unsicher sind, kann man nur empfehlen, den nächsten urlaub in moskau zu verbringen. und zwar 20 kilometer entfernt vom roten platz und seinen westlichen luxusenklaven."
"derwesten-1621a01dceff4cf064de341dae25d087","berlin/frankfurt die finanzaufsicht bafin erwartet keine bösen überraschungen für deutschlands banken bei den laufenden tests der europäischen zentralbank (ezb). die deutschen institute haben ihre bilanzen in den letzten jahren bereinigt. deshalb mache ich mir bei der bilanzprüfung keine großen sorgen, sagte die präsidentin der bundesanstalt für finanzdienstleistungsaufsicht (bafin), elke könig, bei einem redaktionsbesuch bei der nachrichtenagentur dpa in berlin. bei dem im sommer folgenden stresstest hänge es letztlich von den vorgaben ab: je nachdem, mit welchen annahmen man arbeitet - beispiel schiffskredite -, könnte natürlich fast jede bank probleme bekommen. wenn die szenarien aber realistisch gewählt werden, rechne ich für die deutschen banken nicht mit größeren überraschungen. die ezb wird vom 4. november an die größten banken im euroraum zentral überwachen und durchleuchtet gerade mit gewaltigem aufwand die bilanzen von 128 instituten. so sollen altlasten und mögliche kapitallöcher aufgedeckt werden. im sommer folgt ein stresstest, der die krisentauglichkeit der institute im falle von wirtschaftseinbruch und absturz der immobilienpreise unter die lupe nehmen wird. ergebnisse wollen die aufseher im oktober veröffentlichen. die derzeit laufende überprüfung ist eine riesenherausforderung - für die banken wie für uns aufseher. aber es ist nun einmal notwendig. darum bemüht sich jede seite um eine konstruktive mitarbeit, sagte könig. der zeitplan ist extrem ambitioniert. ein bisschen weniger masse und dafür mehr qualität wären im einzelfall wünschenswert. ich halte das programm aber für machbar. es gibt ohnehin keine andere option. könig sprach sich gegen nationale sonderregeln aus: nationale ausnahmen beim stresstest sollte es nicht geben. die annahmen müssen für gleiche sachverhalte bei allen banken vergleichbar sein. das ist entscheidend, damit das ergebnis glaubwürdig ist. ziel sei, dass die ezb nicht die katze im sack kauft. sie erhoffe sich von dem test, dass das ergebnis ein mehr an vertrauen in die banken bringt, sagte deutschlands oberste finanzaufseherin. allen markterwartungen wird man aber natürlich nie gerecht. dass zwingend eine bestimmte anzahl von instituten durchfallen, hält könig nicht für notwendig: es gibt keinerlei bestrebungen, einen gewissen prozentsatz der banken durchfallen zu lassen. alle beteiligten konzentrieren sich jetzt auf die entwicklung der gemeinsamen vorgaben, und dann wird man sehen, wie die banken abschneiden. die bafin-präsidentin bekräftigte, in den großen industriestaaten seien die banken seit der pleite der us-investmentbank lehman brothers mitte september 2008 sicherer geworden. das bewahrt uns zwar nicht davor, dass es irgendwo wieder eine schieflage geben könnte. die wesentlich größere transparenz, höhere kapitalanforderungen und die deutlich bessere kooperation der aufseher untereinander, die wir heute haben, sollten uns aber davor bewahren, dass wir durch das versagen einer einzelnen bank - und lehman war nicht einmal eine besonders große bank - wieder in eine weltweite vertrauenskrise geraten, sagte könig. (dpa)"
"br-online-87c941801b388a6bccde8d7b99a70591","geboren; 22. april 1939 in oberrohr; schule; 1959 abitur in krumbach; ausbildung; studium der rechts- und staatswissenschaften in münchen und würzburg; 1963 erstes juristisches staatsexamen; referendartätigkeit in krumbach, schwabmünchen und augsburg; 1967 promotion und zweites juristisches staatsexamen; beruf; jurist.  aktuelle funktion; rechtsanwalt; ämter/berufliche stationen; 1961-1970 kreisvorsitzender der jungen union krumbach; 1966-1972 mitglied des kreistages krumbach; 1967-1971 bezirksvorsitzender der jungen union schwaben; 1969-1970 persönlicher referent des staatssekretärs im bayerischen staatsministerium der finanzen und 1970-1972 des bayerischen staatsministers für wirtschaft und verkehr anton jaumann; 1971-1975 landesvorsitzender der jungen union bayern; 1972-2002 mitglied des deutschen bundestages; 1982-1989 vorsitzender der csu-landesgruppe und 1. stellvertretender vorsitzender der cdu/csu-fraktion; 1987-1988 bezirksvorsitzender der csu schwaben; 1988-1999 vorsitzender der csu; 1989-1998 bundesminister der finanzen.  artikel bewerten: durchschnittliche bewertung: 5.0 von 5 bei 1 abgegebenen stimmen."
"ruvr-de-edc69cde3f94d26080b4daccd5adcab4","stimme russlands am 22. april 1899 wurde vladimir nabokov geboren. der schriftsteller schrieb in russisch und englisch und in beiden sprachen wurden seine bücher letztendlich berühmt. mein kopf spricht englisch, mein herz russisch, mein ohr französisch“, so der autor von lolita“. als emigrant konnte er seinen ausländischen lesern begreiflich machen, was die russische nostalgie bedeutet.  der schriftsteller entstammte einer adelsfamilie. sein vater war ein bekannter russischer politiker. im elternhaus wurden drei sprachen gesprochen: russisch, englisch und französisch. jede davon beherrschte der künftige buchautor perfekt. die ersten jahre seines lebens verliefen in st. petersburg. er besuchte dort die tenischew-schule und studierte später in cambridge. in seinen jugendjahren hatte nabokov zwei lieblingsbeschäftigungen: literatur und entomologie. er dichtete verse und fing schmetterlinge. kurz vor der oktoberrevolution 1917 erschien in petersburg ein sammelband seiner gedichte. der autor bezahlte die veröffentlichung mit seinem eigenen geld. nach der revolution fuhr die familie nabokov zunächst auf die krim und verließ im jahr 1919 russland. im märz 1922 wurde der vater des schriftstellers getötet. seitdem verdiente nabokov seinen unterhalt mit englischunterricht. seine ersten novellen erschienen in berliner zeitungen und verlagen, die von russischen emigranten gegründet worden waren. der schriftsteller heiratete bald vera slonim und schrieb seinen ersten roman maschenka“ zu ende. das in diesem roman angesprochene thema kam später in vielen werken von ihm vor: russland als verlorenes paradies, als verkörperung einer glücklichen jugendzeit. die erinnerung versucht dabei vergeblich, der verheerenden gewalt der zeit zu widerstehen. der erste literarische ruhm von nabokov geht also auf seine russische nostalgie zurück. er konnte sie auch ausländischen lesern zugänglich machen. auf russisch hat noch niemand so geschrieben“, kommentierte ein kritiker. seine bücher veröffentlichte nabokov in europa unter dem pseudonym sirin. bis zum jahr 1937 schuf er acht romane, vervollkommnete nachhaltig seinen autorenstil und experimentierte mit der form. seine bücher lushins verteidigung“, die gabe“ und einladung zur enthauptung“ erschienen zwar nicht in sowjetrussland, waren aber bei emigranten beliebt und wurden letztendlich als meisterwerke der russischen literatur eingestuft. die politik des ns-regimes setze der russischen diaspora in berlin ein ende. mit seiner jüdischen ehefrau konnte nabokov nicht mehr in deutschland leben. er zog mit seiner familie nach paris. als der zweite weltkrieg begann, wanderte er in die usa aus. nabokov begriff: mit dem verschwinden der diaspora in europa verlor er seine russischsprachigen leser. es blieb ihm nichts anderes übrig, als seit 1937 in englisch zu schreiben. die ausnahmen waren die übersetzung von lolita“ ins russische und das autobiografische werk andere ufer“. in amerika beschäftigte sich nabokov auch mit der insektenkunde weiter. er trug wesentlich zur lepidopterologie bei, die schmetterlinge ins visier nimmt. nabokov entdeckte 20 neue schmetterlingsarten und schrieb 18 wissenschaftliche artikel zum thema. seine schmetterlingssammlung aus 4.324 exemplaren schenkte er dem zoologischen museum der universität lausanne. nabokov unterrichtete außerdem die russische und die weltliteratur. er übersetzte das versepos eugen onegin“ von alexander puschkin sowie das mittelalterliche russische igor-lied“ ins englische. er veröffentlichte außerdem schachkompositionen. das jahr 1958 war ein wendepunkt für nabokov. lolita“ wurde zunächst in europa und dann in amerika veröffentlicht. die geschichte eines erwachsenen mannes, der sich zu einer 12-jährigen hingezogen fühlt, war für jene zeit unvorstellbar. doch dieses skandalthema machte den schriftsteller weltberühmt und war auch finanziell ein erfolg. nabokov kehrte nach europa zurück und lebte seit 1960 in montreux. dort schuf er seine letzten romane fahles feuer“ und ada oder das verlangen“. der schriftsteller starb 1977. kurz vor seinem tod wurde er von einem bbc-reporter gefragt, ob er irgendwann nach russland zurückkomme. nabokov antwortete: ich komme nie wieder zurück, denn das ganze russland, das ich brauche, ist immer bei mir. das sind literatur, sprache und meine eigene russische kindheit.“"
"ruvr-de-2f19425b93cae04d8578095f81d093f0","stimme russlands im laufe der erschließung des arktischen festlandsockels ist es nötig, ein effektives system zur vorbeugung von öllecks und zur beseitigung von deren folgen zu schaffen, erklärte russlands präsident wladimir putin am dienstag bei einer sitzung des sicherheitsrates russlands.  das arktische ökosystem ist sehr anfällig. ökologische risiken beim bau von produktions- und gewährleistungs-infrastruktur müssen minimiert werden“, so putin. als positives beispiel für den schonenden umgang mit der umwelt nannte der präsident die arbeit der ölbohrplattform priraslomnaja“ in der petschorasee. dort wurde vor wenigen tagen die erste partie öl verladen."
"ruvr-de-6e311e47b609adc6d58ace6201db733b","in seiner rede vor den staatsduma-abgeordneten mit dem jahresbericht über die arbeit der regierung berührte dmitri medwedjew auch russlands handlungen bei einer möglichen erweiterung der sanktionen des westens. diese befürchtungen würden jetzt durch tatsachen bestätigt, hieß es. zum beispiel fordern senatoren der usa strengere sanktionen gegen russland, vor allem gegen dessen banken- und energie-sphäre sowie gegen dessen verteidigungsindustrie. wie dmitri medwedjew sagte, würden der verteidigungsindustrie-komplex und die sicherheit des landes keinesfalls darunter leiden. der verteidigungssektor war stets unser nationaler stolz. in den letzten jahren ist die verteidigungsindustrie nach einer langen schweren periode wieder auf die beine gekommen, und wir lassen nicht zu, dass sie im ergebnis von jemandes nicht freundschaftlichen aktivitäten geschwächt wird. schon heute hängt russland nicht vom import vieler arten von militärischer produktion ab. die fähigkeit unseres landes, qualitative waffen herzustellen, weckt bei niemandem zweifel. russland belegt überzeugend den zweiten platz nach dem volumen des waffenexports. und wir beabsichtigen natürlich, unsere positionen am waffen-weltmarkt zu festigen.“ dmitri medwedjew berührte in seinem jahresbericht auch die zukunft der russischen industrie. sehr viele russische unternehmen arbeiten heute eng mit westlichen unternehmen zusammen, deshalb sei es für russland wichtig, mögliche risiken zu verringern. dmitri medwedjew versprach, dass man jene unternehmen, die durch die sanktionen im fall einer schließung der absatzmärkte leiden oder deswegen die kooperation mit westlichen partnern verlieren könnten, nicht mit ihren problemen allein lassen werde. dmitri medwedjew erklärte, die regierung sei bereit, unter den neuen bedingungen zu handeln und werde alles tun, damit weder die russische wirtschaft noch die bürger russlands leiden. der ministerpräsident bezeichnete die sanktionen als einen weg ins nirgendwohin“. der direktor des analytischen departements der investmentgruppe nord-kapital“, wladimir roshankowski kommentierte das so: die sanktionen haben einen begrenzten einfluss auf die wirtschaft. jetzt berühren die sanktionen hauptsächlich den finanzsektor. dort gibt es natürlich einen gewissen druck seitens einzelner unternehmen, aber sie haben keine konkreten vorschriften erhalten.“ in seinem bericht bemerkte dmitri medwedjew, dass russland in der welthandelsorganisation bei der reaktion auf sanktionen ebenfalls die zähne zeigen“ könne. er betonte auch, dass die einschränkungen in der tätigkeit des russischen business, die mit den zahlungssystemen verbunden seien, nicht ungestraft bleiben dürfen“."
